203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,0
211,1
212,1
213,0
214,1
215,0
216,0
217,1
218,1
219,0
220,1
221,0
222,0
223,1
224,0
225,1
226,1
227,1
228,1
229,1
230,0
231,1
232,0
233,1
234,0
235,1
236,0
237,0
238,0
239,1
240,1
370,0
371,0
372,0
373,1
374,0
375,0
376,1
377,0
378,1
379,0
380,1
381,0
382,0
383,0
384,0
385,0
386,0
387,1
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,1
398,0
399,0
468,1
469,0
470,0
471,1
472,0
473,0
474,0
475,1
476,0
477,0
478,1
479,1
480,1
481,1
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
497,0
498,0
499,1
500,1
501,1
502,1
503,1
504,1
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,1
513,0
514,1
515,1
516,0
517,1
520,0
521,0
522,0
523,0
524,1
525,1
526,1
527,0
528,0
529,0
530,1
531,0
555,0
556,1
557,0
558,0
559,0
560,0
561,1
562,1
563,0
564,0
565,0
566,1
567,0
568,0
569,1
570,0
571,0
572,1
573,0
574,1
575,0
576,0
577,0
578,1
579,0
580,0
581,0
582,0
583,1
584,1
588,1
589,1
590,1
591,1
592,1
593,0
594,1
595,1
596,1
597,0
598,0
599,0
600,0
601,0
